English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
,,The lawyer is still reading through the contract details.,Avukat hâlâ sözleşme detaylarını okuyor.,Advokaten läser fortfarande igenom kontraktsdetaljerna.,,
,,I managed to find a seat on the crowded bus.,Kalabalık otobüste bir yer bulabildim.,Jag lyckades hitta en sittplats på den fullsatta bussen.,,
,,She turned the old garage into a small art studio.,"O, eski garajı küçük bir sanat stüdyosuna dönüştürdü.",Hon gjorde om det gamla garaget till en liten ateljé.,,
,,Delete old emails before your storage space fills up.,Depolama alanınız dolmadan eski e-postaları silin.,Ta bort gamla e-postmeddelanden innan ditt lagringsutrymme fylls upp.,,
,,We managed to plan a call across four time zones.,Dört farklı saat dilimini kapsayan bir görüşme planlamayı başardık.,Vi lyckades planera ett samtal över fyra tidszoner.,,
,,He answered many questions from the audience after his talk.,Konuşmasından sonra seyircilerden birçok soruyu yanıtladı.,Han svarade på många frågor från publiken efter sitt föredrag.,,
,,Our neighbor organizes the schedule for the trash bins.,Komşumuz çöp kutularının programını düzenler.,Vår granne organiserar schemat för sopkärlen.,,
,,I finally understood the numbers after staring at the chart.,Grafiğe uzun uzun baktıktan sonra nihayet sayıları anladım.,Jag förstod äntligen siffrorna efter att ha stirrat på diagrammet.,,
,,She helped make the apartment much more energy-efficient.,Daireyi çok daha enerji verimli hale getirmesine yardımcı oldu.,Hon hjälpte till att göra lägenheten mycket mer energieffektiv.,,
,,The receptionist answers calls from morning until late afternoon.,Resepsiyonist sabahtan geç öğleden sonraya kadar çağrıları yanıtlar.,Receptionisten svarar på samtal från morgon fram till sen eftermiddag.,,
,,We kept the surprise quiet until her actual birthday.,Sürprizi gerçek doğum gününe kadar gizli tuttuk.,Vi höll överraskningen hemlig fram till hennes riktiga födelsedag.,,
,,He rebuilt the relationship with our most important partner.,"O, en önemli ortağımızla ilişkiyi yeniden kurdu.",Han återuppbyggde relationen med vår viktigaste partner.,,
,,How does your company handle electronic waste disposal?,Şirketiniz elektronik atık bertarafını nasıl yapıyor?,Hur hanterar ert företag bortskaffandet av elektroniskt avfall?,,
,,They finished the project despite the harsh winter conditions.,Projeyi ağır kış şartlarına rağmen tamamladılar.,De slutförde projektet trots de stränga vinterförhållandena.,,
,,She updated the way we communicate with our clients.,"O, müşterilerimizle iletişim kurma şeklimizi güncelledi.",Hon uppdaterade sättet vi kommunicerar med våra kunder.,,
,,He told me he felt better after his vacation.,Tatilinden sonra daha iyi hissettiğini bana söyledi.,Han berättade för mig att han mådde bättre efter sin semester.,,
,,She said she already completed the manager's report.,"O, müdürün raporunu zaten tamamladığını söyledi.",Hon sade att hon redan slutfört chefens rapport.,,
,,The director mentioned the meeting was postponed until Friday.,"Yönetmen, toplantının Cuma'ya kadar ertelendiğini belirtti.",Direktören nämnde att mötet sköts upp till fredag.,,
,,I told them I could not attend because of work.,Onlara işim yüzünden katılamayacağımı söyledim.,Jag sa till dem att jag inte kunde komma på grund av jobbet.,,
,,"According to him, the company is hiring more staff.","Ona göre, şirket daha fazla personel işe alıyor.",Enligt honom anställer företaget mer personal.,,
,,She assured me she would call as soon as she arrived.,"Bana, varır varmaz arayacağını temin etti.",Hon försäkrade mig att hon skulle ringa så snart hon kom fram.,,
,,The technician explained the server was under maintenance.,"Teknisyen, sunucunun bakımda olduğunu açıkladı.",Teknikern förklarade att servern var under underhåll.,,
,,They mentioned never having been to this city before.,Daha önce bu şehre hiç gitmediklerini belirttiler.,De nämnde att de aldrig hade varit i den här staden förut.,,
,,He whispered that he wanted the secret kept quiet.,Sırrın gizli kalmasını istediğini fısıldadı.,Han viskade att han ville att hemligheten skulle hållas tyst.,,
,,She complained about how cold the office gets in winter.,Kışın ofisin ne kadar soğuk olduğundan şikayet etti.,Hon klagade över hur kallt kontoret blir på vintern.,,
,,The teacher warned that the exam would be challenging.,"Öğretmen, sınavın zorlu olacağı konusunda uyardı.",Läraren varnade att provet skulle bli utmanande.,,
,,He admitted to forgetting to lock the front door.,Ön kapıyı kilitlemeyi unuttuğunu itiraf etti.,Han erkände att ha glömt att låsa ytterdörren.,,
,,She replied that she was looking forward to the weekend.,Hafta sonunu sabırsızlıkla beklediğini cevapladı.,Hon svarade att hon såg fram emot helgen.,,
,,The pilot announced we would be landing in ten minutes.,"Pilot, on dakika içinde ineceğimizi duyurdu.",Piloten meddelade att vi skulle landa om tio minuter.,,
,,They shared their plans to move into a new apartment.,Yeni bir daireye taşınma planlarını paylaştılar.,De delade sina planer på att flytta till en ny lägenhet.,,
,,He made it clear he disliked the new website design.,Yeni web sitesi tasarımını beğenmediğini açıkça belirtti.,Han gjorde det tydligt att han ogillade den nya webbplatsdesignen.,,
,,She asked her boss for time off for a wedding.,Düğün için patronundan izin istedi.,Hon bad sin chef om ledighet för ett bröllop.,,
,,The doctor suggested that I exercise more regularly now.,"Doktor, artık daha düzenli egzersiz yapmamı tavsiye etti.",Läkaren föreslog att jag skulle motionera mer regelbundet nu.,,
,,He mentioned spotting a famous actor at the airport.,Havaalanında ünlü bir aktör gördüğünden bahsetti.,Han nämnde att han sett en berömd skådespelare på flygplatsen.,,
,,She said she could not find her keys anywhere.,Anahtarlarını hiçbir yerde bulamadığını söyledi.,Hon sa att hon inte kunde hitta sina nycklar någonstans.,,
,,They explained the store was closed for renovation work.,Mağazanın tadilat nedeniyle kapalı olduğunu açıkladılar.,De förklarade att butiken var stängd för renoveringsarbeten.,,
,,He told us he was preparing for a professional certification.,Bize profesyonel bir sertifikasyona hazırlandığını söyledi.,Han berättade för oss att han förberedde sig inför en yrkescertifiering.,,
,,She talked about wanting to learn the violin.,Keman çalmayı öğrenmek istediğinden bahsetti.,Hon pratade om att vilja lära sig fiol.,,
,,The guide said the museum dates back to the 1800s.,"Rehber, müzenin 1800'lü yıllara dayandığını söyledi.",Guiden sa att museet daterar sig tillbaka till 1800-talet.,,
,,He offered to help me with the project tomorrow.,Yarın projede bana yardım etmeyi teklif etti.,Han erbjöd sig att hjälpa mig med projektet imorgon.,,
,,She said the long flight had completely worn her out.,Uzun uçuşun onu tamamen bitirdiğini söyledi.,Hon sa att den långa flygresan hade gjort henne helt slut.,,
,,Our neighbor told us it had rained all night long.,Komşumuz bize bütün gece yağmur yağdığını söyledi.,Vår granne berättade för oss att det hade regnat hela natten.,,
,,He noted that he had already seen the movie twice.,Filmi zaten iki kez izlemiş olduğunu belirtti.,Han noterade att han redan hade sett filmen två gånger.,,
,,She mentioned her brother works as a lawyer in London.,Kardeşinin Londra'da avukat olarak çalıştığını söyledi.,Hon nämnde att hennes bror arbetar som advokat i London.,,
,,They expressed how pleased they were with the results.,Sonuçlardan ne kadar memnun olduklarını dile getirdiler.,De uttryckte hur nöjda de var med resultaten.,,
,,He explained that he missed the bus this morning.,Bu sabah otobüsü kaçırdığını açıkladı.,Han förklarade att han missade bussen i morse.,,
,,She explained that she avoids meat for ethical reasons.,Etik nedenlerle et yemediğini açıkladı.,Hon förklarade att hon undviker kött av etiska skäl.,,
,,The chef said the special uses local ingredients.,"Şef, spesiyalin yerel malzemeler kullandığını söyledi.",Kocken sa att dagens special använder lokala råvaror.,,
,,He mentioned he was planning on buying a new car.,Yeni bir araba almayı planladığını söyledi.,Han nämnde att han planerade att köpa en ny bil.,,
,,She said the instructions were not very clear.,Talimatların çok açık olmadığını söyledi.,Hon sa att instruktionerna inte var särskilt tydliga.,,
,,They told us they would wait at the station.,Bize istasyonda bekleyeceklerini söylediler.,De sa till oss att de skulle vänta på stationen.,,
,,He said he had lost his wallet on the train.,"O, cüzdanını trende kaybettiğini söyledi.",Han sa att han hade tappat sin plånbok på tåget.,,
,,She explained she was busy with a difficult client.,Zor bir müşteriyle meşgul olduğunu açıkladı.,Hon förklarade att hon var upptagen med en svår klient.,,
,,The receptionist said the doctor would see me shortly.,Resepsiyonist doktorun benimle az sonra görüşeceğini söyledi.,Receptionisten sa att läkaren skulle träffa mig strax.,,
,,He told her how much he loved the gift.,Ona hediyeyi ne kadar sevdiğini söyledi.,Han berättade för henne hur mycket han älskade presenten.,,
,,She shared her plans to visit Japan next summer.,Gelecek yaz Japonya'yı ziyaret etme planlarını paylaştı.,Hon delade med sig av sina planer att besöka Japan nästa sommar.,,
,,The officer explained the road was closed after an accident.,"Memur, bir kazadan sonra yolun kapalı olduğunu açıkladı.",Officeraren förklarade att vägen var avstängd efter en olycka.,,
,,He mentioned having lived here for over five years.,Burada beş yılı aşkın süredir yaşadığını belirtti.,Han nämnde att han hade bott här i över fem år.,,
,,She said she lacked enough time to finish the task.,Görevi bitirmek için yeterli zamanı olmadığını söyledi.,Hon sa att hon saknade tillräckligt med tid för att slutföra uppgiften.,,
,,They said the food at the restaurant was excellent.,Restorandaki yemek mükemmeldi dediler.,De sa att maten på restaurangen var utmärkt.,,
,,He explained that his phone battery had run out.,Telefonunun pilinin bittiğini açıkladı.,Han förklarade att hans mobilbatteri hade tagit slut.,,
,,She said she would bring a salad to the picnic.,"O, pikniğe bir salata getireceğini söyledi.",Hon sa att hon skulle ta med en sallad till picknicken.,,
,,The manager praised my presentation and my hard work.,Yönetici sunumumu ve çalışkanlığımı takdir etti.,Chefen berömde min presentation och mitt hårda arbete.,,
,,I am not sure this is the best idea.,"Bu en iyi fikir mi, emin değilim.",Jag är inte säker på att det här är den bästa idén.,,
,,"I see your point, but I am not convinced.","Noktanızı anlıyorum, ama ikna olmadım.","Jag förstår din poäng, men jag är inte övertygad.",,
,,That plan does not really work for me right now.,O plan şu anda pek işime gelmiyor.,Den planen fungerar inte riktigt för mig just nu.,,
,,"I understand, but I see the situation differently.","Anlıyorum, ama durumu farklı görüyorum.","Jag förstår, men jag ser situationen annorlunda.",,
,,"I might be mistaken, but this feels a bit rushed.",Yanılıyor olabilirim ama bu biraz aceleye gelmiş gibi geliyor.,"Jag kanske har fel, men det här känns lite förhastat.",,
,,I do not fully agree with that specific point.,O belirli noktaya tamamen katılmıyorum.,Jag håller inte helt med om den specifika punkten.,,
,,I hear what you are saying regarding this issue.,Bu meseleyle ilgili ne dediğinizi anlıyorum.,Jag hör vad du säger angående denna fråga.,,
,,Let us think about this again before we decide.,Karar vermeden önce bunu bir daha düşünelim.,Låt oss tänka på detta igen innan vi bestämmer oss.,,
,,"I am open to it, but I have some concerns.","Buna açığım, ama bazı endişelerim var.","Jag är öppen för det, men jag har vissa betänkligheter.",,
,,Maybe we should look at another option for now.,Belki şimdilik başka bir seçeneğe bakmalıyız.,Kanske borde vi titta på ett annat alternativ för tillfället.,,
,,I do not feel comfortable with this arrangement.,Bu düzenlemeyle rahat hissetmiyorum.,Jag känner mig inte bekväm med detta arrangemang.,,
,,That is not quite what I meant to say.,Demek istediğim tam olarak bu değil.,Det är inte riktigt vad jag menade att säga.,,
,,Let us leave it there for the time being.,Şimdilik orada bırakalım.,Låt oss lämna det där tills vidare.,,
,,I need a bit more time to think about this.,Bunu düşünmek için biraz daha zamana ihtiyacım var.,Jag behöver lite mer tid att tänka på det här.,,
